Index;Hann;Hamming;Blackman;Lanczos;Gaussian;Poisson;Parzen;Welch;Nutall;Blackman-Nutall;Blackman-Harris;Hann-Poisson;Bartlett-Hann;Bartlett-Fejer;Exponential;Triangular;Rectangular;Flat top;Cosine;
734;0.60140;0.63329;0.44798;0.71655;0.55360;0.00000;0.36108;0.81078;0.31500;0.33131;0.32140;0.25196;0.59267;0.56500;0.64754;0.56543;1.00000;0.00077;0.77550;
735;0.59839;0.63052;0.44459;0.71424;0.55066;0.00000;0.35754;0.80907;0.31156;0.32787;0.31796;0.24972;0.58991;0.56305;0.64628;0.56348;1.00000;-0.00170;0.77356;
736;0.59538;0.62775;0.44120;0.71192;0.54772;0.00000;0.35400;0.80736;0.30814;0.32444;0.31454;0.24749;0.58715;0.56109;0.64502;0.56152;1.00000;-0.00411;0.77161;
737;0.59236;0.62497;0.43782;0.70959;0.54478;0.00000;0.35049;0.80564;0.30475;0.32104;0.31113;0.24528;0.58439;0.55914;0.64376;0.55957;1.00000;-0.00648;0.76965;
738;0.58934;0.62220;0.43445;0.70726;0.54185;0.00000;0.34698;0.80391;0.30137;0.31765;0.30775;0.24308;0.58163;0.55718;0.64250;0.55762;1.00000;-0.00880;0.76769;
739;0.58632;0.61941;0.43109;0.70493;0.53892;0.00000;0.34350;0.80218;0.29801;0.31428;0.30438;0.24089;0.57886;0.55523;0.64125;0.55566;1.00000;-0.01108;0.76572;
740;0.58329;0.61663;0.42773;0.70258;0.53599;0.00000;0.34002;0.80044;0.29467;0.31093;0.30103;0.23871;0.57609;0.55327;0.64000;0.55371;1.00000;-0.01330;0.76374;
741;0.58026;0.61384;0.42439;0.70024;0.53307;0.00000;0.33656;0.79869;0.29135;0.30760;0.29770;0.23654;0.57332;0.55132;0.63875;0.55176;1.00000;-0.01548;0.76175;
742;0.57723;0.61105;0.42105;0.69788;0.53015;0.00000;0.33312;0.79693;0.28805;0.30429;0.29439;0.23439;0.57054;0.54936;0.63750;0.54980;1.00000;-0.01761;0.75976;
743;0.57420;0.60826;0.41772;0.69552;0.52723;0.00000;0.32970;0.79516;0.28477;0.30099;0.29110;0.23224;0.56777;0.54741;0.63626;0.54785;1.00000;-0.01969;0.75776;
744;0.57116;0.60546;0.41440;0.69315;0.52432;0.00000;0.32629;0.79339;0.28151;0.29771;0.28783;0.23011;0.56499;0.54545;0.63502;0.54590;1.00000;-0.02172;0.75575;
